"","crn","stn","cast","mdate","press","theta","sigma","temp","csal","coxy","bsal","boxy","dic","ph","alk","phos","nit","sil","dop","don","doc","tdp","tdn","pc","pn","pp","lln","llp","atp","n2o","psi","p15n","no2"
"85",45,2,6,21793,5.1,23.7376,23.624,23.7387,34.8744,208.6,34.8725,211.4,1957,8.102,2299,0.07,0,1.49,0.18,4.82,85.85,0.24,4.82,-9,-9,-9,2.4,81.1,-9,-9,-9,-9,-9
"86",45,2,6,21793,24.3,23.4176,23.77,23.4226,34.9434,209.5,34.9488,211.1,1964.6,8.089,2304,0.07,0,1.21,0.17,4.83,88.49,0.23,4.83,-9,-9,-9,2.3,76.2,-9,-9,-9,-9,-9
"87",45,2,6,21793,45.4,22.8706,23.992,22.8798,35.028,210.6,35.0309,211.4,1975,8.087,2301,0.06,0.01,1.19,0.19,5.34,78.42,0.24,5.35,-9,-9,-9,5.5,78.1,-9,-9,-9,-9,-9
"88",45,2,6,21793,74.3,22.4827,24.143,22.4976,35.0803,207.1,35.0789,207.3,1984.8,8.073,2304,0.07,0.18,1.3,0.21,5.33,72.46,0.27,5.51,-9,-9,-9,171.8,96.7,-9,-9,-9,-9,-9
"89",45,2,6,21793,114.5,20.8611,24.64,20.8829,35.1429,194.5,35.1433,195.9,2021.8,8.022,2311,0.19,1.35,1.88,0.13,5.03,-9,0.31,6.38,-9,-9,-9,-9,207,-9,-9,-9,-9,-9
"90",45,2,6,21793,151.5,18.838,25.081,18.8649,35.0246,190.3,35.0325,193.6,2039.6,7.977,2299,0.25,2.72,2.93,0.13,4.24,60.55,0.38,6.96,-9,-9,-9,-9,331.1,-9,-9,-9,-9,-9
"91",45,2,6,21793,203.8,16.3393,25.487,16.372,34.7629,197.7,34.7687,198,2043.9,7.939,2283,0.39,4.82,5.26,0.08,3.77,-9,0.47,8.58,-9,-9,-9,-9,484.5,-9,-9,-9,-9,-9
"92",46,2,3,41493,26,23.4715,23.851,23.4769,35.0721,214.3,35.0739,217.7,1976.7,8.09,2301,0.05,0.02,1.28,0.21,5.78,89.45,0.26,5.8,-9,-9,-9,1.7,65.4,-9,-9,-9,-9,0.1
"93",46,2,3,41493,75.5,22.6153,24.123,22.6305,35.1043,215.2,35.1029,215.6,1982.4,8.088,2309,0.05,0.01,1.23,0.18,6,85.64,0.22,6.01,-9,-9,-9,1.6,66.4,-9,-9,-9,-9,-9
"94",46,2,3,41493,125,21.7863,24.39,21.8109,35.1478,208.3,35.1394,206.4,1997.8,8.058,2316,0.1,0.14,1.32,0.15,5.23,69.04,0.24,5.37,-9,-9,-9,158.6,108.4,-9,-9,-9,-9,45.3
"95",46,2,3,41493,150.4,21.1146,24.629,21.1436,35.2182,209,35.2184,207.2,2005.6,8.051,2312,0.09,0.46,1.47,0.16,5.37,71.09,0.24,5.83,-9,-9,-9,549.8,102.5,-9,-9,-9,-9,138
"96",46,2,3,41493,196.2,19.875,24.911,19.9112,35.1523,200.5,35.1546,198.5,2026.7,8.009,2301,0.17,1.5,2.05,0.11,4.66,60.2,0.27,6.16,-9,-9,-9,-9,172.8,-9,-9,-9,-9,29.4
"97",47,2,1,51993,4397.4,1.1152,27.786,1.4777,34.6869,152.3,-9,151.9,2331.8,7.579,2426,2.5,35.69,150.44,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"98",47,2,8,52093,798.9,4.6197,27.203,4.6829,34.3499,27.7,34.3499,25.7,2335.3,7.338,2343,3.03,41.01,97.24,0,1.6,46.02,3.03,42.61,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.4
"99",47,2,8,52093,1034.3,3.8692,27.399,3.9473,34.4967,41.7,34.4953,41.9,2347.3,7.383,2374,3.01,41.09,111.37,0.03,2.2,43.77,3.04,43.29,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.5
"100",47,2,9,52193,6.6,24.0397,23.681,24.0411,35.0683,213.1,35.0653,-9,1975.6,8.099,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"101",47,2,9,52193,24.5,23.8475,23.738,23.8527,35.0686,213.3,35.0665,-9,1974.9,8.095,2306,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"102",47,2,9,52193,150.1,21.5267,24.474,21.556,35.1631,201.3,35.1605,202,2008.4,8.046,2309,0.11,0.6,1.73,0.17,5.38,74.7,0.27,5.98,-9,-9,-9,612.4,106.4,-9,-9,-9,-9,64.1
"103",50,2,2,102893,1394.4,2.8291,27.553,2.9274,34.5648,-9,-9,62.4,2359.8,7.428,2391,2.95,41.22,134.91,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"104",50,2,2,102893,2808.4,1.3857,27.749,1.5863,34.6645,-9,-9,120.4,2359.8,7.531,-9,2.66,37.97,161.17,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"105",50,2,2,102893,3014.6,1.3265,27.758,1.5457,34.67,123.9,34.6696,125.7,2345.7,7.543,2418,2.64,37.65,160.7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"106",50,2,2,102893,3202.3,1.2707,27.766,1.5071,34.6752,129.6,34.674,130.9,2341.9,7.557,2421,2.59,37.28,161.01,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"107",50,2,2,102893,3381.3,1.2164,27.773,1.4698,34.6794,135.6,34.6793,137.3,2340,7.563,2422,2.57,36.88,158.39,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"108",50,2,2,102893,3604.4,1.1768,27.779,1.4524,34.6831,141.3,34.6835,141.5,2336,7.57,2419,2.54,36.57,157.53,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"109",50,2,2,102893,3805.4,1.1484,27.783,1.4449,34.6854,-9,-9,145.6,2333.4,7.574,-9,2.54,36.42,155.17,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"110",50,2,2,102893,3985.1,1.1327,27.785,1.4486,34.6869,145.9,34.6873,148.1,2331.3,7.577,-9,2.53,36.23,154.09,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"111",50,2,2,102893,4405,1.1128,27.788,1.4761,34.6888,154.1,34.6904,151.7,2327.6,7.582,2417,2.5,36.09,151.73,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
